🇨🇳[哓桀丨整理源],#genre#
CCTV-1综合,http://zqh2333.top:2222/rtp/239.93.24.184:5140
CCTV-2财经,http://zqh2333.top:2222/rtp/239.93.24.59:5140
CCTV-3综艺,http://zqh2333.top:2222/rtp/239.93.24.11:2223
CCTV-4中文国际,http://zqh2333.top:2222/rtp/239.93.25.105:5140
CCTV-5体育,http://zqh2333.top:2222/rtp/239.93.24.12:2224
CCTV-6电影,http://zqh2333.top:2222/rtp/239.93.24.13:2226
CCTV-7国防军事,http://zqh2333.top:2222/rtp/239.93.24.61:5140
CCTV-8电视剧,http://zqh2333.top:2222/rtp/239.93.55.39:5140
CCTV-9纪录,http://zqh2333.top:2222/rtp/239.93.25.24:5140
CCTV-10科教,http://zqh2333.top:2222/rtp/239.93.25.28:5140
CCTV-11戏曲,http://zqh2333.top:2222/rtp/239.93.24.102:5140
CCTV-12社会与法,http://zqh2333.top:2222/rtp/239.93.25.30:8124
CCTV-13新闻,http://zqh2333.top:2222/rtp/239.93.24.66:5140
CCTV-14少儿,http://zqh2333.top:2222/rtp/239.93.25.29:6000
CCTV-15音乐,http://zqh2333.top:2222/rtp/239.93.24.103:5140
CCTV-16奥林匹克,http://zqh2333.top:2222/rtp/239.93.55.54:5140
CCTV-17农业农村,http://zqh2333.top:2222/rtp/239.93.24.92:5140
CCTV-5+体育赛事,http://zqh2333.top:2222/rtp/239.93.24.36:8004
CETV-1教育,http://zqh2333.top:2222/rtp/239.93.25.111:5140
CETV-2教育,http://zqh2333.top:2222/rtp/239.93.24.113:5140
CETV-4教育,http://itv.iptv1688.top:2016/itv.php?id=CETV4
CGTN-英语,http://zqh2333.top:2222/rtp/239.93.24.104:5140
CGTN-法语,http://zqh2333.top:2222/rtp/239.93.55.50:5140
CGTN-西语,http://zqh2333.top:2222/rtp/239.93.55.49:5140
CGTN-阿语,https://0472.org/hls/cgtna.m3u8?3.24.160:5140
CGTN-俄语,https://0472.org/hls/cgtne.m3u8?3.24.170:5140
CGTN-纪录,https://0472.org/hls/cgtnd.m3u8?3.24.120:5140
北京卫视,http://zqh2333.top:2222/rtp/239.93.24.180:5140
天津卫视,http://zqh2333.top:2222/rtp/239.93.24.167:5140
东方卫视,http://zqh2333.top:2222/rtp/239.93.24.123:5140
东南卫视,http://zqh2333.top:2222/rtp/239.93.24.42:5140
海南卫视,http://zqh2333.top:2222/rtp/239.93.24.80:5140
广东卫视,http://zqh2333.top:2222/rtp/239.93.24.181:5140
广西卫视,http://zqh2333.top:2222/rtp/239.93.55.46:5140
深圳卫视,http://zqh2333.top:2222/rtp/239.93.24.182:5140
江苏卫视,http://zqh2333.top:2222/rtp/239.93.24.89:5140
江西卫视,http://zqh2333.top:2222/rtp/239.93.24.134:5140
浙江卫视,http://zqh2333.top:2222/rtp/239.93.24.124:5140
湖南卫视,http://zqh2333.top:2222/rtp/239.93.24.88:5140
湖北卫视,http://zqh2333.top:2222/rtp/239.93.24.250:5140
安徽卫视,http://zqh2333.top:2222/rtp/239.93.25.106:5140
山东卫视,http://zqh2333.top:2222/rtp/239.93.24.168:5140
山西卫视,http://zqh2333.top:2222/rtp/239.93.24.6:5140
教育卫视,http://zqh2333.top:2222/rtp/239.93.25.196:5140
河南卫视,http://zqh2333.top:2222/rtp/239.93.55.45:5140
河北卫视,http://zqh2333.top:2222/rtp/239.93.24.132:5140
厦门卫视,http://zqh2333.top:2222/rtp/239.93.55.57:5140
龙江卫视,http://zqh2333.top:2222/rtp/239.93.24.183:5140
吉林卫视,http://zqh2333.top:2222/rtp/239.93.24.248:5140
辽宁卫视,http://zqh2333.top:2222/rtp/239.93.25.108:5140
云南卫视,http://zqh2333.top:2222/rtp/239.93.25.174:5140
贵州卫视,http://zqh2333.top:2222/rtp/239.93.24.131:5140
四川卫视,http://zqh2333.top:2222/rtp/239.93.24.20:1235
重庆卫视,http://zqh2333.top:2222/rtp/239.93.25.107:5140
陕西卫视,http://zqh2333.top:2222/rtp/239.93.25.205:5140
甘肃卫视,http://zqh2333.top:2222/rtp/239.93.24.81:5140
宁夏卫视,http://zqh2333.top:2222/rtp/239.93.24.247:5140
青海卫视,http://zqh2333.top:2222/rtp/239.93.24.192:5140
内蒙卫视,http://zqh2333.top:2222/rtp/239.93.24.8:5140
西藏卫视,http://zqh2333.top:2222/rtp/239.93.24.175:5140
新疆卫视,http://zqh2333.top:2222/rtp/239.93.24.194:5140
兵团卫视,http://zqh2333.top:2222/rtp/239.93.55.43:5140
